№,возраст,пол
1,18,м
2,19,м
3,21,м
4,23,м
5,23,м
6,28,м
7,29,м
8,31,м
9,32,м
10,32,м
11,34,м
12,35,м
13,36,м
14,36,м
15,38,м
16,39,м
17,44,м
18,47,м
19,49,м
20,54,м
21,25,ж
22,27,ж
23,47,ж
24,48,ж
25,55,ж
