№,возраст,пол
1,18,м
2,19,м
3,19,м
4,19,м
5,20,м
6,20,м
7,20,м
8,20,м
9,21,м
10,22,м
11,22,м
12,23,м
13,23,м
14,24,м
15,25,м
16,26,м
17,26,м
18,28,м
19,28,м
20,30,м
21,31,м
22,31,м
23,33,м
24,34,м
25,34,м
26,35,м
27,36,м
28,37,м
29,38,м
30,39,м
31,42,м
32,42,м
33,43,м
34,44,м
35,44,м
36,45,м
37,52,м
38,52,м
39,53,м
40,55,м
41,19,ж
42,19,ж
43,20,ж
44,20,ж
45,24,ж
46,27,ж
47,27,ж
48,31,ж
49,33,ж
50,35,ж
51,36,ж
52,42,ж
53,43,ж
54,52,ж
