№,возраст,пол
1,24,м
2,34,м
3,37,м
4,37,м
5,42,м
6,44,м
7,45,м
8,45,м
9,47,м
10,49,м
11,57,м
12,44,ж
13,44,ж
14,47,ж
15,48,ж
16,58,ж
17,62,ж
