№,возраст,пол
1,18,м
2,18,м
3,18,м
4,18,м
5,18,м
6,18,м
7,19,м
8,19,м
9,19,м
10,20,м
11,20,м
12,21,м
13,21,м
14,22,м
15,23,м
16,23,м
17,25,м
18,27,м
19,29,м
20,29,м
21,31,м
22,33,м
23,33,м
24,34,м
25,35,м
26,36,м
27,36,м
28,37,м
29,39,м
30,39,м
31,41,м
32,42,м
33,44,м
34,44,м
35,45,м
36,46,м
37,51,м
38,51,м
39,53,м
40,19,ж
41,20,ж
42,20,ж
43,24,ж
44,25,ж
45,27,ж
46,29,ж
47,32,ж
48,34,ж
49,35,ж
50,38,ж
51,41,ж
52,42,ж
53,42,ж
54,52,ж
